20,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Pop,17-5664,,22-5664,,208-5664,,227-5664,,228-5664,,275-5664,,346-5664,,538-5664,,564-5664,,709-5664,,1129-5664,,1331-5664,,1487-5664,,1488-5664,,1703-5664,,1731-5664,,1933-5664,,2037-5664,,2181-5664,,2196-5664,
A71,1,3,3,3,3,3,3,4,4,3,3,4,4,2,2,1,1,2,2,3,3,4,4,3,3,2,2,4,4,3,3,4,4,2,2,2,2,3,3,3,3
A72,1,3,3,3,3,3,3,4,4,3,3,4,4,2,2,1,1,2,2,3,3,4,4,3,3,2,2,4,4,3,3,4,4,2,2,2,2,3,3,3,3
A73,1,3,3,3,3,3,3,4,4,3,3,4,4,2,2,1,1,2,2,3,3,3,4,3,3,2,2,4,4,3,3,4,4,2,2,2,2,3,3,3,3
A74,1,3,3,3,3,3,3,4,4,3,3,4,4,2,2,1,1,2,2,3,3,4,4,3,3,2,2,4,4,3,3,4,4,2,2,2,2,3,3,3,3
A75,1,3,3,3,3,3,3,4,4,3,3,4,4,2,2,1,1,2,2,3,3,4,4,3,3,2,2,4,4,3,3,4,4,2,2,2,2,3,3,3,3
A76,1,3,3,3,3,3,3,4,4,3,3,4,4,2,2,1,1,2,2,3,3,NA,NA,3,3,2,2,4,4,3,3,4,4,2,2,2,2,3,3,3,3
A77,1,NA,NA,NA,NA,3,3,4,4,3,3,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,4,4,NA,NA,4,4,NA,NA,2,2,3,3,3,3
A78,1,3,3,3,3,3,3,4,4,3,3,4,4,2,2,1,1,2,2,3,3,4,4,3,3,2,2,4,4,3,3,4,4,2,2,2,2,3,3,3,3
A79,1,3,3,3,3,3,3,4,4,3,3,4,4,2,2,1,1,2,2,3,3,4,4,3,3,2,2,4,4,3,3,4,4,2,2,2,2,3,3,3,3
A80,1,3,3,3,3,3,3,4,4,3,3,4,4,2,2,1,1,2,2,3,3,4,4,3,3,2,2,4,4,3,3,4,4,2,2,2,2,3,3,3,3
A81,1,1,1,1,1,2,2,1,1,2,2,1,1,4,4,2,2,3,3,2,2,4,4,1,1,3,3,3,3,4,4,3,3,3,3,3,3,2,2,2,2
A82,1,1,3,1,3,2,3,1,4,2,3,1,4,4,2,2,1,3,2,2,3,4,4,3,1,2,3,4,3,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA
A83,1,3,3,3,3,3,3,4,4,3,3,4,4,2,2,1,1,2,2,3,3,4,4,3,3,2,2,4,4,3,3,4,4,2,2,2,2,3,3,3,3
