55,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Pop,236-6320,,579-6320,,652-6320,,869-6320,,870-6320,,871-6320,,872-6320,,873-6320,,877-6320,,878-6320,,879-6320,,881-6320,,884-6320,,886-6320,,1092-6320,,1093-6320,,1094-6320,,1096-6320,,1097-6320,,1099-6320,,1103-6320,,1104-6320,,1108-6320,,1109-6320,,1110-6320,,1111-6320,,1113-6320,,1115-6320,,1124-6320,,1125-6320,,1126-6320,,1128-6320,,1130-6320,,1131-6320,,1132-6320,,1136-6320,,1139-6320,,1143-6320,,1146-6320,,1147-6320,,1148-6320,,1149-6320,,1150-6320,,1152-6320,,1153-6320,,1155-6320,,1156-6320,,1158-6320,,1159-6320,,1160-6320,,1162-6320,,1164-6320,,1165-6320,,1168-6320,,1172-6320,
A71,1,NA,NA,1,4,3,3,3,3,4,4,1,1,3,3,3,3,2,2,3,3,3,3,3,3,1,1,1,1,1,1,2,2,3,3,4,4,1,1,4,4,4,4,2,2,4,4,2,2,1,1,4,4,4,4,1,1,2,2,4,4,3,3,1,1,1,1,4,4,2,2,4,4,3,3,4,4,3,3,4,4,3,3,3,3,4,4,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,4,1,1,1,1,4,4
A72,1,2,2,4,4,1,1,3,3,4,4,1,1,3,3,3,3,2,2,3,3,3,3,3,3,1,1,1,1,3,3,1,1,2,2,1,1,4,4,1,1,1,1,3,3,1,1,3,3,3,3,2,2,1,1,4,4,1,1,2,2,1,1,3,3,3,3,1,1,4,4,1,1,2,2,1,1,2,2,1,1,2,2,1,1,3,3,2,2,3,3,2,2,4,4,2,2,4,4,2,2,3,3,1,1,3,3,2,2,1,1
A73,1,2,2,4,4,1,1,3,3,4,4,1,1,3,3,3,3,2,2,3,3,3,3,3,3,1,1,1,1,3,3,1,1,2,2,1,1,4,4,1,1,1,1,3,3,1,1,3,3,3,3,2,2,1,1,4,4,1,1,2,2,1,1,3,3,3,3,1,1,4,4,1,1,2,2,1,1,2,2,1,1,2,2,1,1,3,3,2,2,3,3,2,2,4,4,2,2,4,4,2,2,3,3,1,1,3,3,2,2,1,1
A74,1,2,2,4,4,1,1,3,3,4,4,1,1,3,3,3,3,2,2,3,3,3,3,3,3,1,1,1,1,3,3,1,1,2,2,1,1,4,4,1,1,1,1,3,3,1,1,3,3,3,3,2,2,1,1,4,4,1,1,2,2,1,1,3,3,3,3,1,1,4,4,1,1,2,2,1,1,2,2,1,1,2,2,1,1,3,3,2,2,3,3,2,2,4,4,2,2,4,4,2,2,3,3,1,1,3,3,2,2,1,1
A75,1,2,3,4,4,1,1,3,3,4,4,1,1,3,3,3,3,2,2,3,3,3,3,3,3,1,1,1,1,3,3,1,1,2,2,1,1,4,4,1,1,1,1,3,3,1,1,3,3,3,3,2,2,1,1,4,4,1,1,2,2,1,1,3,3,3,3,1,1,4,4,1,1,2,2,1,1,2,2,1,1,2,2,1,1,3,3,2,2,3,3,2,2,4,4,2,2,4,4,2,2,3,3,1,1,3,3,2,2,1,1
A76,1,2,2,4,4,1,1,1,1,3,3,2,2,4,4,4,4,3,3,2,2,2,2,4,4,3,3,2,2,3,3,1,1,2,2,1,1,4,4,1,1,1,1,3,3,1,1,3,3,3,3,2,2,1,1,4,4,1,1,2,2,1,1,3,3,3,3,1,1,4,4,1,1,2,2,1,1,2,2,1,1,2,2,1,1,3,3,2,2,3,3,2,2,4,4,2,2,4,4,2,2,3,3,1,1,3,3,2,2,1,1
A77,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,2,2,1,1,4,4,1,1,1,1,3,3,1,1,3,3,3,3,2,2,1,1,4,4,1,1,2,2,1,1,3,3,3,3,1,1,4,4,1,1,2,2,1,1,2,2,1,1,2,2,1,1,3,3,2,2,3,3,2,2,4,4,2,2,4,4,2,2,3,3,1,1,3,3,2,2,NA,NA
A78,1,2,2,4,4,1,1,3,3,4,4,1,1,3,3,3,3,2,2,3,3,3,3,3,3,1,1,1,1,3,3,1,1,2,2,1,1,4,4,1,1,1,1,3,3,1,1,3,3,3,3,2,2,1,1,4,4,1,1,2,2,1,1,3,3,3,3,1,1,4,4,1,1,2,2,1,1,2,2,1,1,2,2,1,1,3,3,2,2,3,3,2,2,4,4,2,2,4,4,2,2,3,3,1,1,3,3,2,2,1,1
A79,1,2,2,4,4,1,1,3,3,4,4,1,1,3,3,3,3,2,2,3,3,3,3,3,3,1,1,1,1,3,3,1,1,2,2,1,1,4,4,1,1,1,1,3,3,1,1,3,3,3,3,2,2,1,1,4,4,1,1,2,2,1,1,3,3,3,3,1,1,4,4,1,1,2,2,1,1,2,2,1,1,2,2,1,1,3,3,2,2,3,3,2,2,4,4,2,2,4,4,2,2,3,3,1,1,3,3,2,2,1,1
A80,1,2,2,4,4,1,1,3,3,4,4,1,1,3,3,3,3,2,2,3,3,3,3,3,3,1,1,1,1,3,3,1,1,2,2,1,1,4,4,1,1,1,1,3,3,1,1,3,3,3,3,2,2,1,1,4,4,1,1,2,2,1,1,3,3,3,3,1,1,4,4,1,1,2,2,1,1,2,2,1,1,2,2,1,1,3,3,2,2,3,3,2,2,4,4,2,2,4,4,2,2,3,3,1,1,3,3,2,2,1,1
