53,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Pop,893-6119,,910-6119,,1354-6119,,1943-6119,,1944-6119,,1947-6119,,1949-6119,,1950-6119,,1951-6119,,1952-6119,,1953-6119,,1954-6119,,1957-6119,,1958-6119,,1959-6119,,1961-6119,,1962-6119,,1965-6119,,1974-6119,,1976-6119,,1977-6119,,1978-6119,,1984-6119,,1985-6119,,1986-6119,,1987-6119,,1991-6119,,1999-6119,,2202-6119,,2378-6119,,2379-6119,,2381-6119,,2384-6119,,2386-6119,,2388-6119,,2389-6119,,2391-6119,,2394-6119,,2395-6119,,2396-6119,,2401-6119,,2402-6119,,2404-6119,,2406-6119,,2408-6119,,2409-6119,,2411-6119,,2413-6119,,2414-6119,,2415-6119,,2416-6119,,2417-6119,,2587-6119,
A71,1,3,3,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,2,2,2,2,1,1,2,2,3,3,4,4,1,1,1,1,3,3,1,1,2,2,1,1,1,1,1,1,2,2,4,4,3,3,2,2,2,2,4,4,4,4,2,2,3,3,1,1
A72,1,3,3,2,2,4,4,2,2,4,4,1,1,1,1,3,3,3,3,1,1,4,4,3,3,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,3,3,2,2,2,2,4,4,4,4,2,2,3,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
A73,1,3,3,2,2,3,3,2,2,4,4,1,1,1,1,3,3,3,3,1,1,4,4,3,3,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,3,3,2,2,3,3,3,3,4,4,2,2,3,3,4,4,4,4,2,2,2,2,1,1,2,2,3,3,4,4,1,1,1,1,3,3,1,1,2,2,1,1,1,1,1,1,2,2,4,4,3,3,2,2,2,2,4,4,4,4,2,2,3,3,4,1
A74,1,3,3,2,2,4,4,2,2,4,4,1,1,1,1,3,3,3,3,1,1,4,4,3,3,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,3,3,2,2,2,2,4,4,4,4,2,2,3,3,4,4,4,4,2,3,4,4,4,4,4,4,4,4,3,3,2,2,4,4,2,2,2,2,3,3,4,4,2,2,2,2,3,3,3,3,2,2,3,3,4,4,1,1,2,2,3,3,2,2,1,1
A75,1,3,3,2,2,4,4,2,2,4,4,1,1,1,1,3,3,3,3,1,1,4,4,3,3,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,3,3,2,2,2,2,4,4,4,4,2,2,3,3,NA,NA,4,4,2,2,2,2,1,1,2,2,3,3,4,4,1,1,1,1,3,3,1,1,2,2,1,1,1,1,1,1,2,2,4,4,3,3,2,2,2,2,4,4,4,4,2,2,3,3,4,1
A76,1,3,3,2,2,4,4,2,2,4,4,1,1,1,1,3,3,3,3,1,1,4,4,3,3,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,3,3,2,2,2,2,4,4,4,4,2,2,3,3,2,2,4,4,2,2,2,2,1,1,2,2,3,3,4,4,1,1,1,1,3,3,1,1,2,2,1,1,1,1,1,1,2,2,4,4,3,3,2,2,2,2,4,4,4,4,2,2,3,3,4,1
A77,1,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A78,1,3,3,2,2,4,4,2,2,4,4,1,1,1,1,3,3,3,3,1,1,4,4,3,3,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,3,3,2,2,2,2,4,4,4,4,2,2,3,3,4,4,4,4,2,2,2,2,1,1,2,2,3,3,4,4,1,1,1,1,3,3,1,1,2,2,1,1,1,1,1,1,2,2,4,4,3,3,2,2,2,2,4,4,4,4,2,2,3,3,4,4
A79,1,3,3,2,2,4,4,3,3,1,1,4,4,4,4,2,2,1,1,4,4,1,1,2,2,3,3,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,4,4,2,2,1,1,2,2,1,1,3,3,4,4,4,4,2,2,2,2,1,1,2,2,3,3,4,4,1,1,1,1,3,3,1,1,2,2,1,1,1,1,1,1,2,2,4,4,3,3,2,2,2,2,4,4,4,4,2,2,3,3,1,4
A80,1,3,3,2,2,4,4,2,2,4,4,1,1,1,1,3,3,3,3,1,1,4,4,3,3,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,3,3,2,2,2,2,4,4,4,4,2,2,3,3,4,4,4,4,2,2,2,2,1,1,2,2,3,3,4,4,1,1,1,1,3,3,1,1,2,2,1,1,1,1,1,1,2,2,4,4,3,3,2,2,2,2,4,4,4,4,2,2,3,3,1,4
A81,1,3,3,2,2,4,4,2,2,4,4,1,1,1,1,3,3,3,3,1,1,4,4,3,3,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,3,3,2,2,2,2,4,4,4,4,2,2,3,3,4,4,4,4,2,2,2,2,1,1,2,2,3,3,4,4,1,1,1,1,3,3,1,1,2,2,1,1,1,1,1,1,2,2,4,4,3,3,2,2,2,2,4,4,4,4,2,2,3,3,1,1
A82,1,3,3,2,2,4,4,2,2,4,4,1,1,1,1,3,3,3,3,1,1,4,4,3,3,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,3,3,2,2,2,2,4,4,4,4,2,2,2,2,4,4,4,1,2,2,2,2,1,1,2,2,3,3,4,4,1,1,1,1,3,3,1,1,2,2,1,1,1,1,1,1,2,2,4,4,3,3,2,2,2,2,4,4,4,4,2,2,3,3,1,1
